CustomProperty,CustomPropertyDefinition,EntityType,CommonProperty,CommonPropertyDefinition,PSET,datatype,InitialScore,Score,ManualScore,P1 Aspects 1,P1 Aspects 2,P2 Aspects 1,P2 Aspects 2,IsUnitSame,Aspect Overlap,Suggest Score
omni class title,"OmniClass is a comprehensive classification system for the construction industry. A title is one or more words used before or after a person's name, in certain contexts.",IfcBeam,ConstructionToleranceClass,Classification designation of the on-site construction tolerances according to local standards.,Pset_ConcreteElementGeneral,IfcLabel,0.355546504,1.77773252,2,Identity,,Identity,Project Information,Different,Partial Equivalent,2
baluster offset,Offsets the balusters from the rail sketch line,IfcRailing,ConcreteCoverAtLinks,The protective concrete cover at the reinforcement links according to local building regulations.,Pset_ConcreteElementGeneral,IfcPositiveLengthMeasure,0.188938707,0.944693535,1,Geometry,Position and Topology ,Structural Properties,,Different,Not Equivalent,1
open stringer offset,start to operate or function or cause to start operating or functioning. the perpendicular distance between the top of steel of the stringer and the nosing line. ,IfcStair,LeadOutTime,Lead out time after end of process.,Pset_EnvironmentalImpactValues,IfcDuration,0.287385404,1.43692702,1,Geometry,Position and Topology ,Project Information,,Different,Not Equivalent,1
location line,"A location line for the wall at the specified plane. The wall location line remains the same for that wall, even if the type changes",IfcWall,NetSideArea,Area of the wall as viewed by an elevation view of the middle plane. It does take into account all wall modifications (such as openings). ,Qto_WallBaseQuantities,ENUM,0.471500784,2.35750392,1.5,Position and Topology ,Software-dependent Analytics,Geometry,Software-dependent Analytics,Different,Partial Equivalent,2
tread material,the horizontal parts which people step on.the tangible substance that goes into the makeup of a physical object,IfcStair,ReinforcementAreaRatio,The required ratio of the effective area of the reinforcement to the effective area of the concrete At any section of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcAreaDensityMeasure,0.377733439,1.888667195,1.5,Position and Topology ,Material and Finish,Structural Properties,Geometry,Different,Not Equivalent,1
number of tread,a symbol used to represent a numberused to indicate specific identity or a particular item within a categorythe horizontal parts which people step on.,IfcStair,BatchReference,The identity of the batch reference from which an occurrence of a product is taken.,Pset_ManufacturerOccurrence,IfcIdentifier,0.407310307,2.036551535,1,Geometry,,Identity,,Different,Not Equivalent,1
up text,extending or moving toward a higher placethe main body of a written work (as distinct from illustrations or footnotes etc.),IfcStair,Duration,Duration of process.,Pset_EnvironmentalImpactValues,IfcDuration,0.245592564,1.22796282,1,Position and Topology ,Software-dependent Analytics,Project Information,Sustaibility,Different,Not Equivalent,1
color,"Color (American English), or colour (Commonwealth English), is the characteristic of visual perception described through color categories, with names such as red, orange, yellow, green, blue, or purple. This perception of color derives from the stimulation of photoreceptor cells (in particular cone cells in the human eye and other vertebrate eyes) by electromagnetic radiation (in the visible spectrum in the case of humans). Color categories and physical specifications of color are associated with objects through the wavelengths of the light that is reflected from them and their intensities. This reflection is governed by the object's physical properties such as light absorption, emission spectra, etc.",IfcWall,TypeDesignator,"Type designator for the precast concrete element. The content depends on local standards. For instance in Finland it usually a one-letter acronym, e.g. P=Column, K=reinforced concrete beam,etc.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.30507803,1.52539015,1.5,Material and Finish,,Identity,Project Information,Different,Not Equivalent,1
material,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand, and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes.",IfcWall,Manufacturer,The organization that manufactured and/or assembled the item.,Pset_ManufacturerTypeInformation,IfcLabel,0.392187119,1.960935595,1.5,Material and Finish,,Facility Information,,"Same,Different Constrain",Not Equivalent,2
area,"The term  are  generally refers to a two-dimensional extent or measurement of land or some other surface, or part of a region. Typically, it is used to measure the two-dimensional surface of a three-dimensional object, i.e. a building.",IfcWall,Width,"Total nominal width (or thickness) of the wall measured perpendicular to the wall path. It should only be provided, if it is constant along the wall path.",Qto_WallBaseQuantities,ENUM,0.374300867,1.871504335,2.9,Geometry,,Geometry,,Different,Fully Equivalent,3
top constraint,Wall height extends to the value specified in Unconnected Height.,IfcWall,GrossFootprintArea,"Area of the wall as viewed by a ground floor view, not taking any wall modifications (like recesses) into account. It is also referred to as the foot print of the wall.",Qto_WallBaseQuantities,ENUM,0.407155871,2.035779355,2.6,Geometry,,Geometry,,Different,Fully Equivalent,3
tread thickness,the horizontal parts which people step on.the dimension through an object as opposed to its length or width,IfcStair,AsBuiltLocationNumber,"Defines a unique location within a structure, the  slot into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.293825895,1.469129475,2,Geometry,Position and Topology ,Position and Topology ,,Different,Partial Equivalent,2
limit offset,the Limit Offset is the distance between levels ,IfcSpace,SpaceTemperature,"Temperature of the space or zone, that is required from user/designer view point.  If no summer or winter space temperature requirements are given, it applies all year, otherwise for the intermediate period. Provide this value, if no temperatur range (Min-Max) is available.",Pset_SpaceThermalRequirements,IfcThermodynamicTemperatureMeasure,0.375818938,1.87909469,0.5,Position and Topology ,Geometry,Facility Information,,Different,Not Equivalent,1
cut length,Cut length refers to the distance between connectors inside a pipe segment.,IfcBeam,NetSurfaceArea,"Net surface area of the beam, normally generated as perimeter * length + 2 * cross section area taking into account possible processing features (cut-out's, etc.) or openings and recesses. ",Qto_BeamBaseQuantities,ENUM,0.381095946,1.90547973,2.3,Geometry,Structural Properties,Geometry,,Different,Partial Equivalent,2
panel,"A thin flat piece of wood, plywood, or similar material, framed by stiles and rails as in a door (or cabinet door), or fitted into grooves of thicker material with molded edges for decorative wall treatment.",IfcBeam,AssemblyPlace,"Enumeration defining where the assembly is intended to take place, either in a factory, other offsite location or on the building site.",Pset_ManufacturerOccurrence,ENUM,0.321537793,1.607688965,1,Geometry,Structural Properties,Project Information,Position and Topology ,Different,Not Equivalent,1
elevation,The vertical height of the level.,IfcBuildingStorey,EntranceLevel,"Indication whether this building storey is an entrance level to the building (TRUE), or (FALSE) if otherwise.",Pset_BuildingStoreyCommon,IfcBoolean,0.327965677,1.639828384,1,Position and Topology ,,,,,Not Equivalent,1
accessibility performance,"Developers, designers and owners of buildings have a responsibility to ensure that the built environment is accessible to everyone wherever it is practical to do so. This includes anyone who has a mobility or other impairment, whether permanent or temporary,A building's performance (or efficiency) is a measure of how well it functions in relation to designated criteria such as physical, social or environmental considerations. For example, a building's physical efficiency might be evaluated by assessing parameters such as heat loss, energy use, water use, water tightness, structural performance, fire performance and so on. It can also measure whether the resources necessary to design and construct a building have been used effectively.",IfcWall,Width,"Total nominal width (or thickness) of the wall measured perpendicular to the wall path. It should only be provided, if it is constant along the wall path.",Qto_WallBaseQuantities,ENUM,0.363535583,1.817677915,1,Facility Information,,Geometry,,Different,Not Equivalent,1
window inset,The inset of the window into the wall.,IfcWindow,GlazingAreaFraction,"Fraction of the glazing area relative to the total area of the filling element. 
It shall be used, if the glazing area is not given separately for all panels within the filling element.",Pset_WindowCommon,IfcPositiveRatioMeasure,0.294535011,1.472675055,1,Geometry,,Material and Finish,,Different,Not Equivalent,1
landing carriage height,"Allows stringers to have a different height relationship to landings than they do to sloped runs. For example, it lowers a horizontal stringer toward a landing on u-shaped stairs.",IfcStair,Shortening,The ratio of the distance by which a precast piece is shortened after release from its form (due to compression induced by prestressing) to its original (nominal) length.,Pset_PrecastConcreteElementGeneral,IfcRatioMeasure,0.273961574,1.36980787,2,Geometry,Position and Topology ,Geometry,,Different,Partial Equivalent,2
coarse scale fill color,"rough or harsh in texture.n very general terms 'scale' refers to an item's size in relationship to something else. For example, the components of a building may be designed so they are at a human scale, ie they are comfortable to use, are functional and anthropometric, or manufacturing can be carried out at scale, rather than for one-offs.To fill is defined as to put as much as possible or to occupy.Color (American English), or colour (Commonwealth English), is the characteristic of visual perception described through color categories, with names such as red, orange, yellow, green, blue, or purple. This perception of color derives from the stimulation of photoreceptor cells (in particular cone cells in the human eye and other vertebrate eyes) by electromagnetic radiation (in the visible spectrum in the case of humans). Color categories and physical specifications of color are associated with objects through the wavelengths of the light that is reflected from them and their intensities. This reflection is governed by the object's physical properties such as light absorption, emission spectra, etc.",IfcWall,AssessmentCondition,"The overall condition of a product based on an assessment of the contributions to the overall condition made by the various criteria considered. The meanings given to the values of assessed condition should be agreed and documented by local agreements. For instance, is overall condition measured on a scale of 1 - 10 or by assigning names such as Good, OK, Poor.",Pset_Condition,IfcLabel,0.408558875,2.042794375,1,Material and Finish,Software-dependent Analytics,Project Information,,Different,Not Equivalent,1
constituent,"constituent construction product is:  A manufacturer specific construction product (i.e. with a manufacturer reference number) that is not specified by the designer or selected by the constructor, but is used in the manufacture of a specified construction product. ",IfcWall,BatchReference,The identity of the batch reference from which an occurrence of a product is taken.,Pset_ManufacturerOccurrence,IfcIdentifier,0.509596229,2.547981145,2,Project Information,,Identity,Project Information,Different,Partial Equivalent,2
span,"In structural engineering and architecture, span is the term given to the length of a structural component  eg beam, floor, roof or floor truss  that extends (or spans) between two supports. Thus, a beam may be supported at either end, in which case it is said to span between the two points, and a floor may span between two (or three or even four) continuous supports.",IfcBeam,NetVolume,"Total net volume of the beam, taking into account possible processing features (cut-out's, etc.) or openings and recesses.",Qto_BeamBaseQuantities,ENUM,0.382261008,1.91130504,3,Geometry,,Geometry,,,Fully Equivalent,1
structural,affecting or involved in structure or construction,IfcSlab,Combustible,Indication whether the object is made from combustible material (TRUE) or not (FALSE).,Pset_SlabCommon,IfcBoolean,0.364620894,1.82310447,2.3,Structural Properties,,Identity,,Different,Not Equivalent,1
warranty start date,"A warranty is a representation made by one party upon which another party may rely. It is not the same as a guarantee (which is a promise to stand for the debt of another) even though many contracts use the terms interchangeably. Warranties may be express (written in the contract or stated orally), implied (by the common law) or statutory (set forth in a state s statutes).begin or be reckoned from a particular point in time or space.the time at which an event occurs",IfcWall,WarrantyStartDate,The date on which the warranty commences.,Pset_Warranty,IfcDate,0.57800889,2.89004445,4.5,Project Information,,Project Information,,"Same,Different Constrain",Fully Equivalent,4
start extension calculation,Applies to steel beams only. Specifies family parameters; defines maximum distance of start extension parameter.,IfcBeam,InitialTension,The initial stress of the tendon. This property applies to prestressed concrete elements only.,Pset_PrecastConcreteElementGeneral,IfcPressureMeasure,0.416213572,2.08106786,1,Geometry,,Structural Properties,,Different,Not Equivalent,1
phase,A phase represents a grouping of similar activities that has a very loosely defined beginning and end. ,IfcSpace,OccupancyTimePerDay,The amount of time during the day that the activity is required within this space.,Pset_SpaceOccupancyRequirements,IfcTimeMeasure,0.359380662,1.79690331,1,Project Information,,Facility Information,,Different,Not Equivalent,1
asset identifier,"Asset identification is an important process for organizations that manage a variety of fixed or movable assets, and it is an essential component of an overall asset tracking system. Here s a look at the methods of asset identification, best practices, and more.",IfcWall,Status,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as New"" - element designed as new addition",Pset_WallCommon,ENUM,0.291227758,1.45613879,1.5,Identity,Facility Information,Project Information,,Different,Not Equivalent,1
panel array num,"A thin flat piece of wood, plywood, or similar material, framed by stiles and rails as in a door (or cabinet door), or fitted into grooves of thicker material with molded edges for decorative wall treatment.an orderly arrangementthe linear extent in space from one end to the other; the property possessed by a sum or total or indefinite quantity of units or individuals",IfcBeam,Roll,"Rotation against the longitudinal axis - relative to the global Z direction for all beams that are non-vertical in regard to the global coordinate system (Profile direction equals global Z is Roll = 0.)The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached property, the geometric parameters take precedence.  For geometry editing applications, like CAD: this value should be write-only. Note: new property in IFC4",Pset_BeamCommon,IfcPlaneAngleMeasure,0.375263214,1.87631607,1,Structural Properties,,Position and Topology ,,Different,Not Equivalent,1
fire alarm zone name,combination of components for giving an audible and/or other perceptible warning of firean area or region distinguished from adjacent parts by a distinctive feature or characteristica language unit by which a person or thing is known,IfcSpace,MoldingHeight,"Height of the molding.

The height information is provided in absence of an IfcCovering (type=MOLDING) object with own shape representation and material assignment. In case of inconsistency the height assigned to IfcCovering elements takes precedence.",Pset_SpaceCoveringRequirements,IfcPositiveLengthMeasure,0.364300936,1.82150468,0.5,Identity,Facility Information,Geometry,,Different,Not Equivalent,1
model reference,"a model is a representation, often three-dimensional, of a structure system or procedure. It can represent something that already exists, or may be a model that it is intended will be adopted or followed.Reference ID for this specified type in this project (e.g. type 'A-1'), Also referred to as construction type. It should be provided as an alternative to the name of the ""object type""""",IfcWall,TypeDesignator,"Type designator for the precast concrete element. The content depends on local standards. For instance in Finland it usually a one-letter acronym, e.g. P=Column, K=reinforced concrete beam,etc.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.45592761,2.27963805,2,Identity,,Identity,Project Information,Different,Partial Equivalent,2
end extension,Applies to steel beams only. A dimension that adds beam geometry beyond the finish end of the beam.,IfcBeam,GrossSurfaceArea,"Total area of the beam, normally generated as perimeter * length + 2 * cross section area. It is the sum of OuterSurfaceArea + (2 x CrossSectionArea) and shall only be given, if the OuterSurfaceArea and CrossSectionArea cannot be established separately.",Qto_BeamBaseQuantities,ENUM,0.506770015,2.533850074,2.9,Geometry,,Geometry,,Different,Fully Equivalent,3
down label,being or moving lower in position or less in some valuean identifying or descriptive marker that is attached to an object,IfcStair,WaistThickness,"Minimum thickness of the stair flight, measured perpendicular to the slope of the flight to the inner corner of riser and tread. It is a pre-calculated value, in case of inconsistencies, the value derived from the shape representation shall take precedence.",Pset_StairCommon,IfcPositiveLengthMeasure,0.38351655,1.91758275,2,Identity,Position and Topology ,Geometry,Position and Topology ,Different,Partial Equivalent,2
size,"Size in general is the magnitude or dimensions of a thing. More specifically, geometrical size (or spatial size) can refer to linear dimensions (length, width, height, diameter, perimeter), area, or volume. Size can also be measured in terms of mass, especially when assuming a density range.",IfcWall,Height,"Total nominal height of the wall. It should only be provided, if it is constant along the wall path. ",Qto_WallBaseQuantities,ENUM,0.337202132,1.68601066,2.8,Geometry,,Geometry,,Different,Fully Equivalent,3
wrap at insert,"Wrapping at inserts can be set to wrap material on the interior, exterior, both, or none. The position of the wrap at an insert is controlled by reference planes defined as Wall Closure"" in the insert family. Interior wrapping at window insert.""",IfcWall,AssemblyPlace,"Enumeration defining where the assembly is intended to take place, either in a factory, other offsite location or on the building site.",Pset_ManufacturerOccurrence,ENUM,0.313319653,1.566598265,1.5,Material and Finish,Structural Properties,Project Information,Position and Topology ,Different,Not Equivalent,1
structural,affecting or involved in structure or construction,IfcSlab,StrengthClass,Classification of the concrete strength in accordance with the concrete design code which is applied in the project.,Pset_ConcreteElementGeneral,IfcLabel,0.337186933,1.685934665,3,Structural Properties,,,Structural Properties,Different,Fully Equivalent,3
text size,the main body of a written work (as distinct from illustrations or footnotes etc.)the physical magnitude of something,IfcStair,StrengthClass,Classification of the concrete strength in accordance with the concrete design code which is applied in the project.,Pset_ConcreteElementGeneral,IfcLabel,0.383272141,1.916360705,1.2,Software-dependent Analytics,,identity,Structural Properties,Different,Not Equivalent,1
rigid links,This option defines rigid links in a structure. A rigid link is used to model completely rigid elements of elastic structures (definition of a rigid body in a structure).,IfcBeam,ConcreteCoverAtLinks,The protective concrete cover at the reinforcement links according to local building regulations.,Pset_ConcreteElementGeneral,IfcPositiveLengthMeasure,0.384860396,1.92430198,3.3,Structural Properties,,Structural Properties,,Different,Fully Equivalent,3
riser thickness,"the height between consecutive treads, or for ramps, the vertical distance between each end of the ramp flight.the dimension through an object as opposed to its length or width",IfcStair,RiserHeight,"Vertical distance from tread to tread. 
The riser height is supposed to be equal for all steps of a stair or stair flight.",Pset_StairCommon,IfcPositiveLengthMeasure,0.385124743,1.925623715,5,Geometry,,Geometry,,"Same,Same Constrain",Fully Equivalent,5
landing carriage height,"Allows stringers to have a different height relationship to landings than they do to sloped runs. For example, it lowers a horizontal stringer toward a landing on u-shaped stairs.",IfcStair,WaistThickness,"Minimum thickness of the stair flight, measured perpendicular to the slope of the flight to the inner corner of riser and tread. It is a pre-calculated value, in case of inconsistencies, the value derived from the shape representation shall take precedence.",Pset_StairCommon,IfcPositiveLengthMeasure,0.349573761,1.747868805,2.5,Geometry,Position and Topology ,Geometry,Position and Topology ,Different,Fully Equivalent,3
down label,being or moving lower in position or less in some valuean identifying or descriptive marker that is attached to an object,IfcStair,AsBuiltLocationNumber,"Defines a unique location within a structure, the  slot into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.390440226,1.95220113,2.8,Identity,Position and Topology ,Position and Topology ,Identity,Different,Fully Equivalent,3
end attachment type,Either End Elevation or Distance. Specifies the elevation orientation of the beam. End Elevation maintains the placement level and Distance orients to the join location on a column. See About Adjusting the Beam Elevation at Column Join.,IfcBeam,NetWeight,"Total net weight of the beam without add-on parts, taking into account possible processing features (cut-out's, etc.) or openings and recesses.",Qto_BeamBaseQuantities,ENUM,0.412954628,2.064773142,1.7,Geometry,Position and Topology ,Geometry,,,Partial Equivalent,1
operation type,"Building operations consists of the activities necessary to operate, maintain, and manage buildings. This includes maintaining the HVAC systems, plumbing, electrical, and building system configuration.a number of things or persons sharing a particular characteristic, or set of characteristics, that causes them to be regarded as a group, more or less precisely defined or designated; class; category",IfcDoor,SecurityRating,"Index based rating system indicating security level.
It is giving according to the national building code.",Pset_DoorCommon,IfcLabel,0.368568838,1.84284419,2.5,Facility Information,,Facility Information,,Different,Fully Equivalent,3
beam material,"""Beams are structural elements that resists loads applied laterally to their axisMaterials include manufactured products such as components, fittings, items of equipment and systems; naturally occurring materials such as stone, timber and thatch; and backfilling for excavations in connection with building work.""",IfcBeam,LoadBearing,Indicates whether the object is intended to carry loads (TRUE) or not (FALSE).,Pset_BeamCommon,IfcBoolean,0.364853531,1.824267655,1.3,Material and Finish,,Structural Properties,,Different,Not Equivalent,1
riser to tread connection,Specifies the connection of the riser and tread in relation to each other.,IfcStair,RiserHeight,"Vertical distance from tread to tread. 
The riser height is supposed to be equal for all steps of a stair or stair flight.",Pset_StairCommon,IfcPositiveLengthMeasure,0.205758095,1.028790475,3,Position and Topology ,Structural Properties,Position and Topology ,Geometry,"Same,Different Constrain",Partial Equivalent,3
elevation,The vertical height of the level.,IfcBuildingStorey,NetHeight,"Standard net height of this storey, from the top surface of the construction floor, to the bottom surface of the construction floor or roof above. Only provided is there is a constant height.",Qto_BuildingStoreyBaseQuantities,ENUM,0.459375918,2.29687959,2.4,Position and Topology ,,Geometry,,"Same,Different Constrain",Not Equivalent,2
asset identifier,"Asset identification is an important process for organizations that manage a variety of fixed or movable assets, and it is an essential component of an overall asset tracking system. Here s a look at the methods of asset identification, best practices, and more.",IfcWall,AsBuiltLocationNumber,"Defines a unique location within a structure, the slot into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.314484656,1.57242328,1,Identity,Facility Information,Project Information,,Different,Not Equivalent,1
height offset from level,the vertical dimension of extension; distance from the base of something to the topstructure where a wall or building narrows abruptlyindicating the starting point of a specified range on a scale.a flat surface at right angles to a plumb line,IfcCovering,Finish,"Finish selection for this object.
Here specification of the surface finish for informational purposes.",Pset_CoveringCommon,IfcText,0.316364765,1.581823825,1,Position and Topology ,Geometry,Material and Finish,,Different,Not Equivalent,1
warranty start date,"A warranty is a representation made by one party upon which another party may rely. It is not the same as a guarantee (which is a promise to stand for the debt of another) even though many contracts use the terms interchangeably. Warranties may be express (written in the contract or stated orally), implied (by the common law) or statutory (set forth in a state s statutes).begin or be reckoned from a particular point in time or space.the time at which an event occurs",IfcWall,AsBuiltLocationNumber,"Defines a unique location within a structure, the  slotÂ¡Â¯ into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.438158214,2.19079107,1.2,Project Information,,Structural Properties,,Different,Not Equivalent,1
end release,An end release will allow either or both ends of a beam element to rotate about or translate along one or more of the local axes of the beam.,IfcBeam,Twisting,"The angle, in radians, through which the end face of a precast piece is rotated with respect to its starting face, along its longitudinal axis, as a result of non-aligned supports. This measure is also termed the warping angle.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.307331651,1.536658257,2.5,Structural Properties,Position and Topology ,Position and Topology ,,Different,Partial Equivalent,2
stringer thickness,the structural member in a stairway that supports the treads and risers. the dimension through an object as opposed to its length or width,IfcStair,SupportDuringTransportDocReference,Reference to an external document defining how the concrete element is supported during transportation.,Pset_PrecastConcreteElementGeneral,ENUM,0.36818701,1.84093505,1,Geometry,Position and Topology ,Project Information,,Different,Not Equivalent,1
production year,"The production in construction index is a business-cycle indicator which measures the monthly changes in production of buildings (residential and non-residential) and of civil engineering (roads, railways, bridges, tunnels, utility projects).A year is the orbital period of a planetary body, for example, the Earth, moving in its orbit around the Sun. Due to the Earth's axial tilt, the course of a year sees the passing of the seasons, marked by change in weather, the hours of daylight, and, consequently, vegetation and soil fertility. In temperate and subpolar regions around the planet, four seasons are generally recognized: spring, summer, autumn and winter. In tropical and subtropical regions, several geographical sectors do not present defined seasons; but in the seasonal tropics, the annual wet and dry seasons are recognized and tracked.",IfcWall,StratosphericOzoneLayerDestruction,Quantity of gases destroying the stratospheric ozone layer calculated in equivalent CFC-R11.,Pset_EnvironmentalImpactValues,IfcMassMeasure,0.313142538,1.56571269,1,Project Information,Facility Information,Sustaibility,,Different,Not Equivalent,1
finish,"Finishes are used in the final part of the construction or manufacturing process, forming the final surface of an element. They can protect the element they finish from impact, water, frost, corrosion, abrasion, and so on, and/or they can be decorative.",IfcWall,AsBuiltLocationNumber,"Defines a unique location within a structure, the  slot into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.38513124,1.9256562,1,Material and Finish,,Position and Topology ,,Different,Not Equivalent,1
base constraint,"The base level of the wall. For example, Level 1.",IfcWall,NetWeight,"Total net weight of the wall, without add-on parts, taking into account possible processing features (cut-out's, etc.) or openings and recesses.",Qto_WallBaseQuantities,ENUM,0.450584739,2.252923695,0.8,Position and Topology ,,Structural Properties,,Different,Not Equivalent,1
number of tread,a symbol used to represent a numberused to indicate specific identity or a particular item within a categorythe horizontal parts which people step on.,IfcStair,BarCode,The identity of the bar code given to an occurrence of the product.,Pset_ManufacturerOccurrence,IfcIdentifier,0.454857588,2.27428794,1,Geometry,,Identity,,Different,Not Equivalent,1
perimeter,the continuous line forming the boundary of a closed geometrical figure,IfcCovering,StratosphericOzoneLayerDestructionPerUnit,Quantity of gases destroying the stratospheric ozone layer calculated in equivalent CFC-R11,Pset_EnvironmentalImpactIndicators,IfcMassMeasure,0.250722528,1.25361264,0.5,Geometry,,Sustaibility,,Different,Not Equivalent,1
orientation,Specifies the orientation of the beam from a sloped plane on which it is sketched. Either  Normal or  Horizontal. Normal maintains the beam flanges parallel with the plane on which it is sketched. Horizontal orients the beam flanges to a horizontal position.,IfcBeam,NetVolume,"Total net volume of the beam, taking into account possible processing features (cut-out's, etc.) or openings and recesses.",Qto_BeamBaseQuantities,ENUM,0.447243035,2.236215174,1.3,Position and Topology ,,Geometry,,Different,Not Equivalent,1
actual riser height,"taking place in reality; not pretended or imitatedthe height between consecutive treads, or for ramps, the vertical distance between each end of the ramp flight.the vertical dimension of extension; distance from the base of something to the top",IfcStair,TreadLengthAtInnerSide,"Minimum length of treads at the inner side of the winder. 
Only relevant in case of winding flights, for straight flights it is identical with IfcStairFlight.TreadLength. It is a pre-calculated value, in case of inconsistencies, the value derived from the shape representation shall take precedence.",Pset_StairCommon,IfcPositiveLengthMeasure,0.338796079,1.693980395,3,Geometry,Position and Topology ,Geometry,Position and Topology ,Different,Fully Equivalent,3
expected life,"The design life (or design service life) of a building, other structure or component, is the period of use as intended by the designer after which it may need to be replaced. Before this period has elapsed, it should remain fit for purpose.",IfcWall,AsBuiltLocationNumber,"Defines a unique location within a structure, the  slot into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.361768216,1.80884108,1,Facility Information,Project Information,Position and Topology ,,Different,Not Equivalent,1
maximum ridge height,The maximum height of the top of the roof above the base level of the building.,IfcRoof,ReinforcementVolumeRatio,The required ratio of the effective mass of the reinforcement to the effective volume of the concrete of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcMassDensityMeasure,0.392161191,1.960805955,1.3,Geometry,,Structural Properties,,Different,Not Equivalent,1
line weight,"Line weight is the visual lightness, darkness, or heaviness of a line within a drawing. ",IfcBuildingStorey,Reference,Reference ID for this specified type in this project (e.g. type 'A-1'). Used to store the non-classification driven internal project type.,Pset_BuildingStoreyCommon,IfcIdentifier,0.261432379,1.307161895,1.1,Software-dependent Analytics,,Identity,,Different,Not Equivalent,1
seat length,"Connections that join structural steel members with metal connectors, such as an angle upon which one member, such as a beam, rests.the longest dimension of something that is fixed in place",IfcBeam,ReinforcementVolumeRatio,The required ratio of the effective mass of the reinforcement to the effective volume of the concrete of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcMassDensityMeasure,0.381463379,1.907316893,2.5,Structural Properties,Geometry,Structural Properties,Geometry,Different,Fully Equivalent,3
riser to tread connection,Specifies the connection of the riser and tread in relation to each other.,IfcStair,LeadOutTime,Lead out time after end of process.,Pset_EnvironmentalImpactValues,IfcDuration,0.162286595,0.811432975,1,Position and Topology ,Structural Properties,Project Information,,Different,Not Equivalent,1
glaze area fraction,"Glazing, which derives from the Middle English for 'glass', is a part of a wall or window, made of glass.The term 'area' generally refers to a two-dimensional extent or measurement of land or some other surface, or part of a region. Typically, it is used to measure the two-dimensional surface of a three-dimensional object, i.e. a building.a small part or item forming a piece of a whole",IfcDoor,FillGas,Name of the gas by which the gap between two glass layers is filled. It is given for information purposes only.,Pset_DoorWindowGlazingType,IfcLabel,0.484280348,2.42140174,1.3,Geometry,Structural Properties,Facility Information,,Different,Not Equivalent,1
railing height,The height of the top-most rail in the railing structure.,IfcRailing,StructuralClass,The structural class defined for the concrete structure (e.g. '1').,Pset_ConcreteElementGeneral,IfcLabel,0.263043135,1.315215675,1.5,Geometry,Structural Properties,Identity,Structural Properties,Different,Partial Equivalent,2
base be attach,"Finishing borders, also referred to as wall base, are the architect's solution for concealing the gap between the wall and the floor in the built environment. This building component provides the finishing touch to a space as well as general protection from the open exposure between the drywall and the floorboards.Attached structure means any structure that is attached to another structure by a common wall, by a roof, or by structural connections that allow pedestrian access to both structures. For example, decks or stairways are attached structures when they are connected to another structure.",IfcWall,ConcreteCoverAtLinks,The protective concrete cover at the reinforcement links according to local building regulations.,Pset_ConcreteElementGeneral,IfcPositiveLengthMeasure,0.489098787,2.445493935,3.5,Structural Properties,,Structural Properties,,Different,Fully Equivalent,3
bottom release,the lower side of anythinga device that when pressed will release part of a mechanism,IfcColumn,PieceMark,"Defines a unique piece for production purposes. All pieces with the same piece mark value are identical and interchangeable. The piece mark may be composed of sub-parts that have specific locally defined meaning (e.g. B-1A may denote a beam, of generic type Â¡Â®1Â¡Â¯ and specific shape Â¡Â®AÂ¡Â¯).",Pset_PrecastConcreteElementFabrication,IfcLabel,0.317984819,1.589924095,2,Structural Properties,,Structural Properties,Identity,Different,Partial Equivalent,2
configuration type,an arrangement of parts or elementsa subdivision of a particular kind of thing,IfcWindow,AssessmentCondition,"The overall condition of a product based on an assessment of the contributions to the overall condition made by the various criteria considered. The meanings given to the values of assessed condition should be agreed and documented by local agreements. For instance, is overall condition measured on a scale of 1 - 10 or by assigning names such as Good, OK, Poor.",Pset_Condition,IfcLabel,0.309812039,1.549060195,3.2,Identity,,Identity,,Different,Fully Equivalent,3
